1,Troides helena,ÉÑ·ïµû,,
2,Troides aeacus,½ğÉÑ·ïµû,,
3,Troides magellenus,Ó«¹âÉÑ·ïµû,,
4,Atrophaneura horishana,Êï·ïµû,,
5,Atrophaneura aidoneus,Å¯Êï·ïµû,,
6,Atrophaneura nox,ÂêÊï·ïµû,,
7,Atrophaneura varuna,ÍßÊï·ïµû,,
8,Byasa alcinous,÷ê·ïµû,,
9,Byasa confusus,ÖĞ»ª÷ê·ïµû,,
10,Byasa impediens,³¤Î²÷ê·ïµû,,
11,Byasa mencius,»ÒÈŞ÷ê·ïµû,,
12,Byasa daemonius,´ïÄ¦÷ê·ïµû,,
13,Byasa crassipes,¶ÌÎ²÷ê·ïµû,,
14,Byasa plutonius,Í»Ôµ÷ê·ïµû,,
15,Byasa nevilli,´ÖÈŞ÷ê·ïµû,,
16,Byasa polyeuctes,¶à×Ë÷ê·ïµû,,
17,Byasa dasarada,°×°ß÷ê·ïµû,,
18,Byasa hedistus,ÔÆÄÏ÷ê·ïµû,,
19,Byasa latreillei,æı¿ã÷ê·ïµû,,
20,Byasa polla,²ÊÈ¹÷ê·ïµû,,
21,Byasa rhadinus,æ¬÷ê·ïµû,,
22,Losaria coon,´¸Î²·ïµû,,
23,Pachliopta aristolochiae,ºìÖé·ïµû,,
24,Chilasa clytia,°ß·ïµû,,
25,Chilasa agestor,ºÖ°ß·ïµû,,
26,Chilasa epycides,Ğ¡ºÚ°ß·ïµû,,
27,Chilasa paradoxa,´äÀ¶°ß·ïµû,,
28,Chilasa slateri,ÍÎÖé°ß·ïµû,,
29,Papilio polytes,Óñ´ø·ïµû,,
30,Papilio nephelus,¿í´ø·ïµû,,
31,Papilio castor,ÓñÑÀ·ïµû,,
32,Papilio mahadeva,Âí¹ş·ïµû,,
33,Papilio helenus,Óñ°ß·ïµû,,
34,Papilio noblei,ÄÉ²¹·ïµû,,
35,Papilio protenor,À¶·ïµû,,
36,Papilio memnon,ÃÀ·ïµû,,
37,Papilio alcmenor,ºì»ùÃÀ·ïµû,,
38,Papilio bootes,Å£ÀÉ·ïµû,,
39,Papilio macilentus,ÃÀæ­·ïµû,,
40,Papilio thaiwanus,Ì¨Íå·ïµû,,
41,Papilio rumanzovia,ºì°ßÃÀ·ïµû,,
42,Papilio bianor,±Ì·ïµû,,
43,Papilio polyctor,²¨ÂÌ·ïµû,,
44,Papilio dialis,ñ·´ä·ïµû,,
45,Papilio maackii,ÂÌ´ø´ä·ïµû,,
