zh_name,full_name,0
½ğÉÑ·ïµû,Troides aeacus,482
ÉÑ·ïµû,Troides helena,304
Ó«¹âÉÑ·ïµû,Troides magellenus,0
Å¯Êï·ïµû,Atrophaneura aidoneus,8
ÂêÊï·ïµû,Atrophaneura nox,2
Êï·ïµû,Atrophaneura horishana,2
Õ­Êï·ïµû,Atrophaneura zaleuca,0
ÍßÊï·ïµû,Atrophaneura varuna,15
÷ê·ïµû,Byasa alcinous,292
ÖĞ»ª÷ê·ïµû,Byasa confusa,0
³¤Î²÷ê·ïµû,Byasa impediens,102
»ÒÈŞ÷ê·ïµû,Byasa mencius,100
´ïÄ¦÷ê·ïµû,Byasa daemonius,1
¶ÌÎ²÷ê·ïµû,Byasa crassipes,0
Í»Ôµ÷ê·ïµû,Byasa plutonius,10
´ÖÈŞ÷ê·ïµû,Byasa nevilli,4
¶à×Ë÷ê·ïµû,Byasa polyeuctes,190
°×°ß÷ê·ïµû,Byasa dasarada,17
ÔÆÄÏ÷ê·ïµû,Byasa hedistus,28
æı¿ã÷ê·ïµû,Byasa latreillei,2
²ÊÈ¹÷ê·ïµû,Byasa polla,0
æ¬÷ê·ïµû,Byasa rhadinus,1
´¸Î²·ïµû,Losaria coon,25
ºìÖé·ïµû,Pachliopta aristolochiae,220
ºÖ°ß·ïµû,Chilasa agestor,15
°ß·ïµû,Chilasa clytia,17
Ğ¡ºÚ°ß·ïµû,Chilasa epycides,13
´äÀ¶°ß·ïµû,Chilasa paradoxa,1
ÍÎÖé°ß·ïµû,Chilasa slateri,0
ÓñÑÀ·ïµû,Papilio castor,145
ºÚÃÀ·ïµû,Papilio bootes,6
Óñ°ß·ïµû,Papilio helenus,207
ÃÃÃÀ·ïµû,Papilio macilentus,55
ÃÀ·ïµû,Papilio memnon,557
¿í´ø·ïµû,Papilio nephelus,397
ÄÉ²¹·ïµû,Papilio noblei,1
Óñ´ø·ïµû,Papilio polytes,441
À¶·ïµû,Papilio protenor,251
ºì»ùÃÀ·ïµû,Papilio alcmenor,27
Ì¨Íå·ïµû,Papilio thaiwanus,70
ºì°ßÃÀ·ïµû,Papilio rumanzovia,27
Âí¹ş·ïµû,Papilio mahadeva,14
Õ­°ß´ä·ïµû,Papilio arcturus,35
±Ì·ïµû,Papilio bianor,640
ñ·´ä·ïµû,Papilio dialis,93
¶ÌÎ²´ä·ïµû,Papilio doddsi,0
ÖØàø´ä·ïµû,Papilio hoppo,0
²¨ÂÌ·ïµû,Papilio polyctor,0
¿ËÀï´ä·ïµû,Papilio krishna,4
ÂÌ´ø´ä·ïµû,Papilio maackii,370
°ÍÀè´ä·ïµû,Papilio paris,292
Î÷·¬´ä·ïµû,Papilio syfanius,25
´ïÄ¦´ä·ïµû,Papilio demoleus,545
¸ÌéÙ·ïµû,Papilio xuthus,2526
½ğ·ïµû,Papilio machaon,298
¿íÎ²·ïµû,Agehana elwesi,57
Ì¨Íå¿íÎ²·ïµû,Agehana maraho,1
Ñà·ïµû,Lamproptera curius,450
ÂÌ´øÑà·ïµû,Lamproptera meges,123
Í³Ë§Çà·ïµû,Graphium agamemnon,553
Ëé°ßÇà·ïµû,Graphium chironides,85
¿í´øÇà·ïµû,Graphium cloanthus,162
Ä¾À¼Çà·ïµû,Graphium doson,520
Òø¹³Çà·ïµû,Graphium eurypylus,158
Çà·ïµû,Graphium sarpedon,397
ÀèÊÏÇà·ïµû,Graphium leechi,19
ÎÆ·ïµû,Paranticopsis macareus,1
Ï¸ÎÆ·ïµû,Paranticopsis megarus,1
¿ÍÎÆ·ïµû,Paranticopsis xenocles,0
Ğ±ÎÆÂÌ·ïµû,Pathysa agetes,9
ÂÌ·ïµû,Pathysa antiphates,19
Ã¢ÂÌ·ïµû,Pathysa aristea,0
ºìç·ÂÌ·ïµû,Pathysa nomius,4
½ğ°ß½£·ïµû,Pazala alebion,0
ÌúÄ¾½£·ïµû,Pazala timur,55
ÉıÌì½£·ïµû,Pazala euroa,11
»ªÏÄ½£·ïµû,Pazala glycerion,25
Ô²³á½£·ïµû,Pazala incerta,0
ÎÚ¿ËÀ¼½£·ïµû,Pazala tamerlana,11
ËÄ´¨½£·ïµû,Pazala hoenei,2
ì½·ïµû,Iphiclides podalirius,302
Î÷²Øì½·ïµû,Iphiclides podalirinus,1
ºÖ¹³·ïµû,Meandrusa sciron,8
ºÚ¹³·ïµû,Meandrusa lachinus,3
¹³·ïµû,Meandrusa payeni,16
à¹·ïµû,Teinopalpus imperialis,4
½ğ°ßà¹·ïµû,Teinopalpus aureus,19
Ë¿´ø·ïµû,Sericinus montelus,180
¶àÎ²·ïµû,Bhutanitis lidderdalii,12
¶şÎ²·ïµû,Bhutanitis mansfieldi,1
Àö°ßÎ²·ïµû,Bhutanitis pulchristata,0
ÈıÎ²·ïµû,Bhutanitis thaidina,10
²»µ¤Î²·ïµû,Bhutanitis ludlowi,0
ÓñÁúÎ²·ïµû,Bhutanitis yulongensis,0
ĞşÉÑÎ²·ïµû,Bhutanitis nigrilima,0
ÖĞ»ª»¢·ïµû,Luehdorfia chinensis,35
»¢·ïµû,Luehdorfia puziloi,28
³¤Î²»¢·ïµû,Luehdorfia longicaudata,0
ÔÆ¾îµû,Hypermnestra helios,11
ôËºÍ¾îµû,Parnassius apollonius,7
ºìÖé¾îµû,Parnassius bremeri,19
¸£²¼¾îµû,Parnassius phoebus,114
ÏÄÃÎ¾îµû,Parnassius jacquemontii,5
ÒÀÅÁ¾îµû,Parnassius epaphus,2
ÌìÉ½¾îµû,Parnassius tianschanicus,1
Ğ¡ºìÖé¾îµû,Parnassius nomion,84
°¢²¨ÂŞ¾îµû,Parnassius apollo,111
ÃÙÃÎ¾îµû,Parnassius mnemosyne,157
°×¾îµû,Parnassius stubbendorfii,113
±ùÇå¾îµû,Parnassius glacialis,165
°¬ö©¾îµû,Parnassius eversmanni,14
°®ÂÂ¾îµû,Parnassius ariadne,3
ÕäÖé¾îµû,Parnassius orleans,36
ÁªÖé¾îµû,Parnassius hardwickii,5
ËÄ´¨¾îµû,Parnassius szechenyii,3
ÖÜÊÏ¾îµû,Parnassius choui,0
ÔªÊ×¾îµû,Parnassius cephalus,3
Ê¦¹Å¾îµû,Parnassius schulteri,0
Âí¹ş¾îµû,Parnassius maharajus,0
À¯±´¾îµû,Parnassius labeyriei,0
°®çæ¾îµû,Parnassius acco,0
ÆÕÊÏ¾îµû,Parnassius przewalskii,0
°ÍÒá¾îµû,Parnassius baileyi,0
À¶¾«Áé¾îµû,Parnassius acdestis,0
´äÈ¸¾îµû,Parnassius delphius,19
Î÷Úï¾îµû,Parnassius staudingeri,0
¾ıÖ÷¾îµû,Parnassius imperator,10
æ±Í«¾îµû,Parnassius charltonius,3
¿×È¸¾îµû,Parnassius loxias,0
Î¢µã¾îµû,Parnassius tenedius,2
Î÷ºï¾îµû,Parnassius simo,0
°²¶È¾îµû,Parnassius andreji,0
Ç¨·Ûµû,Catopsilia pomona,516
ïÓ»ÆÇ¨·Ûµû,Catopsilia scylla,233
Àæ»¨Ç¨·Ûµû,Catopsilia pyranthe,422
Ëé°ßÇ¨·Ûµû,Catopsilia florella,359
ºÚ½Ç·½·Ûµû,Dercas lycorias,17
³È³á·½·Ûµû,Dercas nina,18
Ì´·½·Ûµû,Dercas verhuelli,16
°ßÔµ¶¹·Ûµû,Colias erate,223
³È»Æ¶¹·Ûµû,Colias fieldii,117
ºÚÔµ¶¹·Ûµû,Colias palaeno,16
ÀèÃ÷¶¹·Ûµû,Colias heos,1
